locus_tag,length,genes,EC,product [prokka],KO,product [KEGG],annotation [KEGG GENES ]
RHAL1_03276,243, , ,hypothetical protein,,,no KO assigned 
RHAL1_03277,1236,argG,6.3.4.5,Argininosuccinate synthase,K01940,argininosuccinate synthase [EC:6.3.4.5],K01940 argininosuccinate synthase [EC:6.3.4.5] 
RHAL1_03278,1158, , ,CBS domain-containing membrane protein,K07168,CBS domain-containing membrane protein,K07168 CBS domain-containing membrane protein 
RHAL1_03279,282, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_03280,831, , ,Lytic transglycosylase,,,no KO assigned 
RHAL1_03281,1182, , ,putative ATPase,,,no KO assigned 
RHAL1_03282,648, , ,hypothetical protein,K11068,hemolysin III,K11068 hemolysin III 
RHAL1_03283,1251, , ,hypothetical protein,K09795,uncharacterized protein,K09795 uncharacterized protein 
RHAL1_03284,1221, , ,"Drug resistance transporter, Bcr/CflA subfamily",K07552,"MFS transporter, DHA1 family, multidrug resistance protein","K07552 MFS transporter, DHA1 family, multidrug resistance protein "
RHAL1_03285,222, , ,protein of unknown function,,,no KO assigned 
RHAL1_03286,4329, , ,hypothetical protein,K09800,translocation and assembly module TamB,K09800 translocation and assembly module TamB 
RHAL1_03287,2046, , ,Outer membrane protein assembly factor,K07278,translocation and assembly module TamA,K07278 translocation and assembly module TamA 
RHAL1_03288,576, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_03289,777,yadH, ,putative transporter subunit: membrane component of ABC superfamily protein,,,K01992 ABC-2 type transport system permease protein 
RHAL1_03290,927,yadG, ,putative transporter subunit: ATP-binding component of ABC superfamily protein,K01990,ABC-2 type transport system ATP-binding protein,K01990 ABC-2 type transport system ATP-binding protein 
RHAL1_03291,318, , ,Putative metal-binding membrane protein (fragment),,,no KO assigned 
RHAL1_03292,1098,nemA_2,1.-.-.-,N-ethylmaleimide reductase,K10680,N-ethylmaleimide reductase [EC:1.-.-.-],K10680 N-ethylmaleimide reductase [EC:1.-.-.-] 
RHAL1_03293,639,ureC_2,3.5.1.5,Urease subunit alpha,,,no KO assigned 
RHAL1_03294,1074,ureC_3,3.5.1.5,Urease subunit alpha,,,K01428 urease subunit alpha [EC:3.5.1.5] 
RHAL1_03295,1251, , ,Efflux RND transporter periplasmic adaptor subunit,,,no KO assigned 
RHAL1_03296,3108, , ,Multidrug efflux pump subunit AcrB,,,no KO assigned 
RHAL1_03297,579, , ,"Transcriptional regulator, TetR family",K16137,"TetR/AcrR family transcriptional regulator, transcriptional repressor for nem","K16137 TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon "
RHAL1_03298,336, , ,protein of unknown function,,,no KO assigned 
RHAL1_03299,789, , ,Murein transglycosylase,K08305,membrane-bound lytic murein transglycosylase B [EC:4.2.2.-],no KO assigned 
RHAL1_03300,549, , ,MOSC domain-containing protein,,,no KO assigned 
RHAL1_03301,579,ureAB_2,3.5.1.5,Urease subunit gamma/beta,K01429|K14048 ,urease subunit beta [EC:3.5.1.5],K14048 urease subunit gamma/beta [EC:3.5.1.5] 
RHAL1_03302,816,ureD_2, ,Urease accessory protein UreD,K03190,urease accessory protein,K03190 urease accessory protein 
RHAL1_03303,447, , ,hypothetical protein,,,no KO assigned 
RHAL1_03304,1008, , ,"NAD(P)H quinone oxidoreductase, PIG3 family",K00344,NADPH:quinone reductase [EC:1.6.5.5],K00344 NADPH:quinone reductase [EC:1.6.5.5] 
RHAL1_03305,585, , ,hypothetical protein,,,no KO assigned 
RHAL1_03306,765, , ,hypothetical protein,K07160,5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9],K07160 5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9] 
RHAL1_03307,708, , ,Allophanate hydrolase,,,K06351 inhibitor of KinA 
RHAL1_03308,1005, , ,Urea amidolyase,K07160,5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9],K23124 5-oxoprolinase (ATP-hydrolysing) subunit C [EC:3.5.2.9] 
RHAL1_03309,1644, , ,NAD-dependent malic enzyme,K00029,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],K00029 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40] 
RHAL1_03310,207, , ,protein of unknown function,,,no KO assigned 
RHAL1_03311,306, , ,protein of unknown function,,,no KO assigned 
RHAL1_03312,240, , ,protein of unknown function,,,no KO assigned 
RHAL1_03313,945, , ,protein of unknown function,,,"K21826 AraC family transcriptional regulator, glycine betaine-responsive activator "
RHAL1_03314,702,inhA,4.2.1.103,Isonitrile hydratase,K18199,cyclohexyl-isocyanide hydratase [EC:4.2.1.103],K18199 cyclohexyl-isocyanide hydratase [EC:4.2.1.103] 
RHAL1_03315,1002, , ,"Transcriptional regulator GlxA family, contains an amidase domain and an AraC-type DNA-binding HTH domain",K18199,cyclohexyl-isocyanide hydratase [EC:4.2.1.103],no KO assigned 
RHAL1_03316,519, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_03317,246, , ,protein of unknown function,,,no KO assigned 
RHAL1_03318,1911, , ,hypothetical protein,,,no KO assigned 
RHAL1_03319,702,pncA,3.5.1.19,Nicotinamidase,K08281,nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-],K08281 nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-] 
RHAL1_03320,369, , ,protein of unknown function,,,no KO assigned 
RHAL1_03321,1293, , ,Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit,K01426,amidase [EC:3.5.1.4],no KO assigned 
RHAL1_03322,900, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_03323,645, , ,Flp pilus assembly protein TadG,,,no KO assigned 
RHAL1_03324,723, , ,hypothetical protein,,,no KO assigned 
RHAL1_03325,744, , ,hypothetical protein,K09807,uncharacterized protein,K09807 uncharacterized protein 
RHAL1_03326,447, , ,Phenylpyruvate tautomerase PptA (4-oxalocrotonate tautomerase family),,,no KO assigned 
RHAL1_03327,222, , ,hypothetical protein,,,no KO assigned 
RHAL1_03328,3036,polA,2.7.7.7,DNA polymerase I,K02335,DNA polymerase I [EC:2.7.7.7],K02335 DNA polymerase I [EC:2.7.7.7] 
RHAL1_03329,279, , ,Plasmid stabilization system protein ParE,K19092,toxin ParE1/3/4,K19092 toxin ParE1/3/4 
RHAL1_03330,228, , ,hypothetical protein,,,no KO assigned 
RHAL1_03331,735, , ,Channel protein (Hemolysin III family),K11068,hemolysin III,K11068 hemolysin III 
RHAL1_03332,402, , ,Aldehyde-activating protein,,,no KO assigned 
RHAL1_03333,555, , ,Metallophosphoesterase,,,no KO assigned 
RHAL1_03334,783,bdhA,1.1.1.30,D-beta-hydroxybutyrate dehydrogenase,K00019,3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],K00019 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30] 
RHAL1_03335,708, , ,hypothetical protein,,,no KO assigned 
RHAL1_03336,411, , ,hypothetical protein,,,no KO assigned 
RHAL1_03337,417, , ,hypothetical protein,K09966,uncharacterized protein,K09966 uncharacterized protein 
RHAL1_03338,1503, , ,Malonyl-CoA synthase,K18661,malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-],K18661 malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.76 6.2.1.-] 
RHAL1_03339,792, , ,putative ABC transport system permease protein,K02069,putative ABC transport system permease protein,K02069 UDP-glucose/iron transport system permease protein 
RHAL1_03340,606, , ,ABC transporter related,,,K02068 UDP-glucose/iron transport system ATP-binding protein 
RHAL1_03341,453, , ,Acetyltransferase (GNAT) family protein,,,no KO assigned 
RHAL1_03342,228,slyX, ,Protein SlyX,K03745,SlyX protein,K03745 SlyX protein 
RHAL1_03343,1548, , ,Na+/H+ antiporter,K03316,"monovalent cation:H+ antiporter, CPA1 family",K24163 monovalent cation/hydrogen antiporter 
RHAL1_03344,936, , ,Thioredoxin,K05838,putative thioredoxin,K05838 putative thioredoxin 
RHAL1_03345,663, , ,Peptidase S16 lon domain protein,K07157,uncharacterized protein,K07157 uncharacterized protein 
RHAL1_03346,246, , ,hypothetical protein,K09791,uncharacterized protein,K09791 uncharacterized protein 
RHAL1_03347,1812, , ,Pyrrolo-quinoline quinone,,,K00114 alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8] 
RHAL1_03348,630, ,1.11.1.15,Alkyl hydroperoxide reductase AhpD,,,no KO assigned 
RHAL1_03349,897, , ,"Transcriptional regulator, LysR family",K03566,"LysR family transcriptional regulator, glycine cleavage system transcriptiona","K03566 LysR family transcriptional regulator, glycine cleavage system transcriptional activator "
RHAL1_03350,1179, , ,Major facilitator superfamily MFS_1,K08223,"MFS transporter, FSR family, fosmidomycin resistance protein","K08223 MFS transporter, FSR family, fosmidomycin resistance protein "
RHAL1_03351,495, , ,protein of unknown function,,,no KO assigned 
RHAL1_03352,1221,fliI,7.1.2.2,Flagellum-specific ATP synthase,,,K02412 flagellum-specific ATP synthase [EC:7.4.2.8] 
RHAL1_03353,726,flgF, ,Flagellar basal-body rod protein FlgF,K02391,flagellar basal-body rod protein FlgF,K02391 flagellar basal-body rod protein FlgF 
RHAL1_03354,789, , ,Flagellar basal-body rod protein FlgF,,,no KO assigned 
RHAL1_03355,195, , ,protein of unknown function,,,no KO assigned 
RHAL1_03356,792, , ,Creatinine amidohydrolase,K01470,creatinine amidohydrolase [EC:3.5.2.10],K01470 creatinine amidohydrolase [EC:3.5.2.10] 
RHAL1_03357,549,ureG_2, ,Urease accessory protein UreG 1,K03189,urease accessory protein,K03189 urease accessory protein 
RHAL1_03358,267, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_03359,231, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_03360,660, , ,hypothetical protein,,,no KO assigned 
RHAL1_03361,336, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_03362,1125, , ,"DNA-binding transcriptional regulator, CsgD family",,,no KO assigned 
RHAL1_03363,531,ppa,3.6.1.1,inorganic pyrophosphatase,K01507,inorganic pyrophosphatase [EC:3.6.1.1],K01507 inorganic pyrophosphatase [EC:3.6.1.1] 
RHAL1_03364,792, , ,Porin,K16079,outer membrane immunogenic protein,K16079 outer membrane immunogenic protein 
RHAL1_03365,255, , ,protein of unknown function,,,no KO assigned 
RHAL1_03366,921, , ,Transcriptional regulator,K05817,"LysR family transcriptional regulator, hca operon transcriptional activator","K05817 LysR family transcriptional regulator, hca operon transcriptional activator "
RHAL1_03367,741,bdcA, ,Cyclic-di-GMP-binding biofilm dispersal mediator protein,K00059,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],K00059 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] 
RHAL1_03368,747, ,1.-.-.-,putative oxidoreductase,,,no KO assigned 
RHAL1_03369,1323, , ,hypothetical protein,,,no KO assigned 
RHAL1_03370,687,yedZ, ,putative protein-methionine-sulfoxide reductase subunit YedZ1,,,no KO assigned 
RHAL1_03371,774,yedY, ,putative protein-methionine-sulfoxide reductase subunit YedZ1,,,no KO assigned 
RHAL1_03372,450, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_03373,939, , ,protein of unknown function,,,K01733 threonine synthase [EC:4.2.3.1] 
RHAL1_03374,708, , ,UDP-glucose--dolichyl-phosphate glucosyltransferase,,,no KO assigned 
RHAL1_03375,1068, , ,Radical SAM protein,,,no KO assigned 
RHAL1_03376,1335, , ,hypothetical protein,,,no KO assigned 
RHAL1_03377,768, , ,hypothetical protein,K09931,uncharacterized protein,K09931 uncharacterized protein 
RHAL1_03378,750,aqpZ, ,aquaporin,K06188,aquaporin Z,K06188 aquaporin Z 
RHAL1_03379,192, , ,hypothetical protein,,,no KO assigned 
RHAL1_03380,870, , ,hypothetical protein,K05972,acetylxylan esterase [EC:3.1.1.72],no KO assigned 
RHAL1_03381,477,ibpA_2, ,heat shock chaperone,K04080,molecular chaperone IbpA,K04080 molecular chaperone IbpA 
RHAL1_03382,414, , ,hypothetical protein,,,no KO assigned 
RHAL1_03383,984, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_03384,222, , ,hypothetical protein,,,no KO assigned 
RHAL1_03385,330, , ,hypothetical protein,,,no KO assigned 
RHAL1_03386,240, , ,hypothetical protein,,,no KO assigned 
RHAL1_03387,432, , ,Photosystem reaction center subunit H,,,no KO assigned 
RHAL1_03388,1641, , ,PAS domain S-box-containing protein,,,no KO assigned 
RHAL1_03389,183, , ,hypothetical protein,,,no KO assigned 
RHAL1_03390,408, , ,Peptide/nickel transport system ATP-binding protein,,,no KO assigned 
RHAL1_03391,1095, , ,hypothetical protein,,,no KO assigned 
RHAL1_03392,309, , ,protein of unknown function,,,no KO assigned 
RHAL1_03393,234, , ,protein of unknown function,,,no KO assigned 
RHAL1_03394,240, , ,protein of unknown function,,,no KO assigned 
RHAL1_03395,225, , ,protein of unknown function,,,no KO assigned 
RHAL1_03396,291, , ,protein of unknown function,,,no KO assigned 
RHAL1_03397,1254,chrA, ,Chromate transporter,K07240,chromate transporter,K07240 chromate transporter 
RHAL1_03398,1203, , ,hypothetical protein,K09121,"pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.9","K09121 pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12] "
RHAL1_03399,831, , ,hypothetical protein,K06864,"pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase [EC:4.4.1.","K06864 pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase [EC:4.4.1.37] "
RHAL1_03400,693,larB,3.-.-.-,"Pyridinium-3,5-biscarboxylic acid mononucleotide synthase",K06898,"pyridinium-3,5-biscarboxylic acid mononucleotide synthase [EC:2.5.1.143]","K06898 pyridinium-3,5-biscarboxylic acid mononucleotide synthase [EC:2.5.1.143] "
RHAL1_03401,777, , ,Aldo/keto reductase (fragment),,,K07079 uncharacterized protein 
RHAL1_03402,336, , ,Aldo/keto reductase family protein (fragment),,,no KO assigned 
RHAL1_03403,564, , ,hypothetical protein,,,no KO assigned 
RHAL1_03404,792, , ,hypothetical protein,,,no KO assigned 
RHAL1_03405,444, , ,hypothetical protein,,,no KO assigned 
RHAL1_03406,963, , ,hypothetical protein,,,no KO assigned 
RHAL1_03407,1017, , ,hypothetical protein,,,no KO assigned 
RHAL1_03408,294, , ,Polyketide cyclase (fragment),,,no KO assigned 
RHAL1_03409,1590, , ,Na+/H+ antiporter,K03316,"monovalent cation:H+ antiporter, CPA1 family",K24163 monovalent cation/hydrogen antiporter 
RHAL1_03410,531, , ,GCN5 family acetyltransferase,,,no KO assigned 
RHAL1_03411,177, , ,protein of unknown function,,,no KO assigned 
RHAL1_03412,198, , ,protein of unknown function,,,no KO assigned 
RHAL1_03413,828, , ,hypothetical protein,,,no KO assigned 
RHAL1_03414,348, , ,hypothetical protein,,,no KO assigned 
RHAL1_03415,2721,acnA,4.2.1.3,aconitate hydratase 1,K01681,aconitate hydratase [EC:4.2.1.3],K01681 aconitate hydratase [EC:4.2.1.3] 
RHAL1_03416,669,ccmA,7.6.2.5,Cytochrome c biogenesis ATP-binding export protein CcmA,,,K02193 heme exporter protein A [EC:7.6.2.5] 
RHAL1_03417,198, , ,protein of unknown function,,,no KO assigned 
RHAL1_03418,669,ccmB, ,heme exporter subunit ; membrane component of ABC superfamily protein,K02194,heme exporter protein B,K02194 heme exporter protein B 
RHAL1_03419,288, , ,hypothetical protein,,,no KO assigned 
RHAL1_03420,336, , ,hypothetical protein,,,no KO assigned 
RHAL1_03421,321,trxA, ,thioredoxin 1,K03671,thioredoxin 1,K03671 thioredoxin 1 
RHAL1_03422,270,rpsO, ,30S ribosomal subunit protein S15,K02956,small subunit ribosomal protein S15,K02956 small subunit ribosomal protein S15 
RHAL1_03423,77, , ,tRNA-Pro(cgg),,,K14232 tRNA Pro 
RHAL1_03424,507, , ,hypothetical protein,,,no KO assigned 
RHAL1_03425,492, , ,protein of unknown function,,,no KO assigned 
RHAL1_03426,342, , ,"Transcriptional regulator, ArsR family",,,no KO assigned 
RHAL1_03427,1017, , ,hypothetical protein,K23256,NADPH-dependent curcumin reductase [EC:1.3.1.-],K23256 NADPH-dependent curcumin reductase [EC:1.3.1.-] 
RHAL1_03428,666, , ,hypothetical protein,,,no KO assigned 
RHAL1_03429,543, , ,hypothetical protein,,,no KO assigned 
RHAL1_03430,1659, , ,Phospholipase D-like protein,,,no KO assigned 
RHAL1_03431,945, , ,Flagellar motor protein MotA,,,no KO assigned 
RHAL1_03432,1029, , ,Chemotaxis protein MotB,K02557,chemotaxis protein MotB,K02557 chemotaxis protein MotB 
RHAL1_03433,348, , ,hypothetical protein,,,no KO assigned 
RHAL1_03434,228, , ,hypothetical protein,,,no KO assigned 
RHAL1_03435,333, , ,hypothetical protein,,,no KO assigned 
RHAL1_03436,1524,leuC,4.2.1.33,"3-isopropylmalate isomerase subunit, dehydratase component",K01703,3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4,K01703 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35] 
RHAL1_03437,1437, , ,"Drug resistance transporter, EmrB/QacA subfamily",,,no KO assigned 
RHAL1_03438,228, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_03439,444, , ,protein of unknown function,,,no KO assigned 
RHAL1_03440,1482, , ,Porin,K07267,porin,K07267 porin 
RHAL1_03441,702,ydfF, ,putative HTH-type transcriptional regulator YdfF,,,no KO assigned 
RHAL1_03442,501, , ,Phosphoglycerate mutase,K08296,phosphohistidine phosphatase [EC:3.1.3.-],K08296 phosphohistidine phosphatase [EC:3.1.3.-] 
RHAL1_03443,393, , ,Phasin protein,,,no KO assigned 
RHAL1_03444,831,efeU, ,Ferrous iron permease EfeU,K07243,high-affinity iron transporter,K07243 high-affinity iron transporter 
RHAL1_03445,1116,efeO, ,ferrous iron transport binding protein,K07224,iron uptake system component EfeO,K07224 iron uptake system component EfeO 
RHAL1_03446,1383,efeB, ,heme-binding periplasmic protein involved in iron transport; Tat-dependent exported,K16301,deferrochelatase/peroxidase EfeB [EC:1.11.1.-],K16301 deferrochelatase/peroxidase EfeB [EC:1.11.1.-] 
RHAL1_03447,303, , ,hypothetical protein,,,no KO assigned 
RHAL1_03448,510, , ,Acetyltransferase (GNAT) family protein,,,no KO assigned 
RHAL1_03449,348, , ,LysR family transcriptional regulator,K02019,molybdate transport system regulatory protein,K02019 molybdate transport system regulatory protein 
RHAL1_03450,2001, , ,"putative Peptidoglycan/LPS O-acetylase OafA/YrhL, contains acyltransferase and SGNH-hydrolase domains",,,no KO assigned 
RHAL1_03451,2334,actP_2,7.2.2.9,Copper-transporting ATPase 1,K01533|K17686 ,P-type Cu2+ transporter [EC:7.2.2.9],K17686 P-type Cu+ transporter [EC:7.2.2.8] 
RHAL1_03452,915, ,2.7.4.1,Polyphosphate:ADP phosphotransferase,K22468,polyphosphate kinase [EC:2.7.4.1],no KO assigned 
RHAL1_03453,630, , ,hypothetical protein,,,no KO assigned 
RHAL1_03454,477, , ,hypothetical protein,,,no KO assigned 
RHAL1_03455,900, , ,Inositol monophosphatase,,,K01092 myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25] 
RHAL1_03456,231, , ,hypothetical protein,,,no KO assigned 
RHAL1_03457,1305, , ,3-deoxy-D-manno-octulosonic-acid transferase,K02527,3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.1,K02527 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15] 
RHAL1_03458,189, , ,hypothetical protein,,,no KO assigned 
RHAL1_03459,738,ygfF,1.-.-.-,putative oxidoreductase YgfF,,,no KO assigned 
RHAL1_03460,696, , ,"DNA-binding transcriptional regulator, GntR family",,,no KO assigned 
RHAL1_03461,978,hslO, ,33 kDa chaperonin,K04083,molecular chaperone Hsp33,K04083 molecular chaperone Hsp33 
RHAL1_03462,954,argF,2.1.3.3,Ornithine carbamoyltransferase,K00611,ornithine carbamoyltransferase [EC:2.1.3.3],K00611 ornithine carbamoyltransferase [EC:2.1.3.3] 
RHAL1_03463,1203,argD,2.6.1.11,Acetylornithine aminotransferase,K00821,acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1,K00821 acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17] 
RHAL1_03464,552, , ,GcrA cell cycle regulator,K13583,GcrA cell cycle regulator,K13583 GcrA cell cycle regulator 
RHAL1_03465,210, , ,protein of unknown function,,,no KO assigned 
RHAL1_03466,2895, , ,FAD-binding oxidoreductase,K18930,D-lactate dehydrogenase,no KO assigned 
RHAL1_03467,1080,pheS,6.1.1.20,"phenylalanine tRNA synthetase, alpha subunit",K01889,phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20],K01889 phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20] 
RHAL1_03468,291,relE, ,Toxin RelE2,K19092,toxin ParE1/3/4,K19092 toxin ParE1/3/4 
RHAL1_03469,243, , ,hypothetical protein,,,no KO assigned 
RHAL1_03470,213, , ,hypothetical protein,,,no KO assigned 
RHAL1_03471,552, , ,hypothetical protein,K08995,putative membrane protein,K08995 putative membrane protein 
RHAL1_03472,714, , ,hypothetical protein,,,no KO assigned 
RHAL1_03473,342, , ,protein of unknown function,,,no KO assigned 
RHAL1_03474,294, , ,hypothetical protein,,,no KO assigned 
RHAL1_03475,252, , ,hypothetical protein,,,no KO assigned 
RHAL1_03476,1149, , ,Peptidoglycan-binding protein,K08305,membrane-bound lytic murein transglycosylase B [EC:4.2.2.-],K08305 membrane-bound lytic murein transglycosylase B [EC:4.2.2.-] 
RHAL1_03477,612,thiE,2.5.1.3,thiamin phosphate synthase (thiamin phosphate pyrophosphorylase),K00788,thiamine-phosphate pyrophosphorylase [EC:2.5.1.3],K00788 thiamine-phosphate pyrophosphorylase [EC:2.5.1.3] 
RHAL1_03478,993, , ,putative mRNA 3-end processing factor,K07577,putative mRNA 3-end processing factor,K07577 putative mRNA 3-end processing factor 
RHAL1_03479,279, , ,hypothetical protein,,,no KO assigned 
RHAL1_03480,423, , ,hypothetical protein,,,no KO assigned 
RHAL1_03481,2709, , ,"ATP dependent helicase, Lhr family",K03724,ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-],K03724 ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.13 5.6.2.4] 
RHAL1_03482,1290,ntaA,1.14.14.10,Nitrilotriacetate monooxygenase component A,,,no KO assigned 
RHAL1_03483,447, , ,"Transcriptional regulator, HxlR family",,,no KO assigned 
RHAL1_03484,600,azoR,1.7.-.-,FMN-dependent NADH-azoreductase 7,K01118,FMN-dependent NADH-azoreductase [EC:1.7.1.17],K01118 FMN-dependent NADH-azoreductase [EC:1.7.1.17] 
RHAL1_03485,1530, , ,hypothetical protein,,,K01992 ABC-2 type transport system permease protein 
RHAL1_03486,732,natA, ,ABC transporter ATP-binding protein NatA,K01990,ABC-2 type transport system ATP-binding protein,K01990 ABC-2 type transport system ATP-binding protein 
RHAL1_03487,876, , ,hypothetical protein,,,no KO assigned 
RHAL1_03488,216, , ,protein of unknown function,,,no KO assigned 
RHAL1_03489,1797, , ,ATP-dependent DNA ligase,K10747,DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7],no KO assigned 
RHAL1_03490,567, , ,hypothetical protein,,,no KO assigned 
RHAL1_03491,93, , ,tRNA-Ala(cgc),,,no KO assigned 
RHAL1_03492,318,hisE,3.6.1.31,Phosphoribosyl-ATP pyrophosphatase,K01523,phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31],K01523 phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31] 
RHAL1_03493,963,coaA,2.7.1.33,pantothenate kinase,K00867,type I pantothenate kinase [EC:2.7.1.33],K00867 type I pantothenate kinase [EC:2.7.1.33] 
RHAL1_03494,1623, , ,Sulfatase,K01130,arylsulfatase [EC:3.1.6.1],no KO assigned 
RHAL1_03495,1023,,1.8.3.7,Formylglycine-generating enzyme,,,K13444 formylglycine-generating enzyme [EC:1.8.3.7] 
RHAL1_03496,774, , ,hypothetical protein,,,no KO assigned 
RHAL1_03497,1335, , ,Peptidase,,,no KO assigned 
RHAL1_03498,2286, , ,hypothetical protein,K02014,iron complex outermembrane recepter protein,K02014 iron complex outermembrane recepter protein 
RHAL1_03499,357, , ,hypothetical protein,,,no KO assigned 
RHAL1_03500,342, , ,hypothetical protein,,,no KO assigned 
RHAL1_03501,789, , ,hypothetical protein,,,no KO assigned 
RHAL1_03502,1164,serC,2.6.1.52,Phosphoserine aminotransferase,K00831,phosphoserine aminotransferase [EC:2.6.1.52],K00831 phosphoserine aminotransferase [EC:2.6.1.52] 
RHAL1_03503,849, , ,KR domain-containing protein,,,no KO assigned 
RHAL1_03504,2496, , ,hypothetical protein,,,no KO assigned 
RHAL1_03505,405,vapC_3,3.1.-.-,Ribonuclease VapC,K18828,tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-],K18828 tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-] 
RHAL1_03506,285, , ,Nitrogen regulatory protein NtrP,K18829,antitoxin VapB,K18829 antitoxin VapB 
RHAL1_03507,1653,yjjK, ,fused putative transporter subunits of ABC superfamily: ATP-binding components,K06020|K15738 ,energy-dependent translational throttle protein EttA|ABC transport system ATP-binding/permease protein ,no KO assigned 
RHAL1_03508,219, , ,protein of unknown function,,,no KO assigned 
RHAL1_03509,246, , ,hypothetical protein,,,no KO assigned 
RHAL1_03510,465, , ,"Transcriptional regulator, MarR family",,,no KO assigned 
RHAL1_03511,534, , ,hypothetical protein,,,no KO assigned 
RHAL1_03512,1080, , ,hypothetical protein,,,no KO assigned 
RHAL1_03513,1290,oxdC,4.1.1.2,Oxalate decarboxylase OxdC,K01569,oxalate decarboxylase [EC:4.1.1.2],K01569 oxalate decarboxylase [EC:4.1.1.2] 
RHAL1_03514,435, , ,hypothetical protein,K08995,putative membrane protein,K08995 putative membrane protein 
RHAL1_03515,228, , ,protein of unknown function,,,no KO assigned 
RHAL1_03516,285, , ,Toxin ParE1/3/4,K19092,toxin ParE1/3/4,K19092 toxin ParE1/3/4 
RHAL1_03517,888,ilvE,2.6.1.42,Branched-chain-amino-acid aminotransferase,K00826,branched-chain amino acid aminotransferase [EC:2.6.1.42],K00826 branched-chain amino acid aminotransferase [EC:2.6.1.42] 
RHAL1_03518,501, , ,MarR family transcriptional regulator (fragment),,,no KO assigned 
RHAL1_03519,426, , ,Cupin,,,no KO assigned 
RHAL1_03520,1110,hrcA, ,Heat-inducible transcription repressor HrcA,K03705,heat-inducible transcriptional repressor,K03705 heat-inducible transcriptional repressor 
RHAL1_03521,471, , ,hypothetical protein,,,no KO assigned 
RHAL1_03522,564, , ,DNA polymerase beta domain protein region,,,K07076 uncharacterized protein 
RHAL1_03523,1026, , ,putative Energy transducer TonB,K03646|K03832 ,colicin import membrane protein,K03832 periplasmic protein TonB 
RHAL1_03524,357, , ,protein of unknown function,,,no KO assigned 
RHAL1_03525,282, , ,hypothetical protein,,,no KO assigned 
RHAL1_03526,288, , ,hypothetical protein,,,no KO assigned 
RHAL1_03527,1191,carA,6.3.5.5,"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase",K01956,carbamoyl-phosphate synthase small subunit [EC:6.3.5.5],K01956 carbamoyl-phosphate synthase small subunit [EC:6.3.5.5] 
RHAL1_03528,321, , ,Acyl carrier protein (modular protein),K02078,acyl carrier protein,K02078 acyl carrier protein 
